intern_id,intern_name,course_id,course_name,category,difficulty,rating,timestamp,completion_pct,role
0,Aisha A.,2,ML Fundamentals,ML,2,3.0,2024-11-08 00:00:00,67,ML Intern
0,Aisha A.,6,REST APIs,Engineering,3,3.0,2024-09-22 16:00:00,69,ML Intern
0,Aisha A.,8,Statistics Basics,Data,2,3.0,2024-09-18 02:00:00,64,ML Intern
0,Aisha A.,15,Reinforcement Learning,ML,5,4.5,2024-10-01 23:00:00,80,ML Intern
1,Ben B.,8,Statistics Basics,Data,2,2.5,2024-10-06 18:00:00,60,Data Intern
1,Ben B.,12,Git & DevOps,Engineering,2,2.5,2024-11-29 01:00:00,60,Data Intern
1,Ben B.,13,A/B Testing,Data,3,3.0,2024-10-05 11:00:00,60,Data Intern
1,Ben B.,15,Reinforcement Learning,ML,5,3.0,2024-12-09 21:00:00,60,Data Intern
1,Ben B.,18,Technical Writing,Soft Skills,1,4.0,2024-10-07 16:00:00,82,Data Intern
1,Ben B.,19,System Design,Engineering,4,2.5,2024-11-28 15:00:00,60,Data Intern
2,Carlos C.,4,NLP Methods,ML,4,1.0,2024-11-14 16:00:00,60,SWE Intern
2,Carlos C.,11,Cloud Computing,Engineering,3,4.0,2024-10-05 16:00:00,74,SWE Intern
2,Carlos C.,12,Git & DevOps,Engineering,2,3.0,2024-09-29 09:00:00,60,SWE Intern
2,Carlos C.,14,Time Series,ML,3,2.0,2024-11-01 20:00:00,60,SWE Intern
2,Carlos C.,15,Reinforcement Learning,ML,5,1.0,2024-12-14 21:00:00,60,SWE Intern
2,Carlos C.,16,Product Analytics,Product,2,3.0,2024-09-04 02:00:00,60,SWE Intern
3,Diana D.,4,NLP Methods,ML,4,2.0,2024-12-17 16:00:00,60,Research Intern
3,Diana D.,7,Model Deployment,Engineering,4,2.5,2024-11-14 07:00:00,60,Research Intern
3,Diana D.,8,Statistics Basics,Data,2,2.5,2024-12-28 19:00:00,60,Research Intern
3,Diana D.,9,Data Pipelines,Engineering,3,3.0,2024-10-17 10:00:00,68,Research Intern
3,Diana D.,10,Computer Vision,ML,4,3.0,2024-09-24 03:00:00,60,Research Intern
3,Diana D.,12,Git & DevOps,Engineering,2,2.5,2024-09-25 19:00:00,60,Research Intern
3,Diana D.,19,System Design,Engineering,4,4.0,2024-10-15 23:00:00,74,Research Intern
4,Elena E.,2,ML Fundamentals,ML,2,3.0,2024-11-25 14:00:00,69,Product Intern
4,Elena E.,8,Statistics Basics,Data,2,3.5,2024-11-25 19:00:00,68,Product Intern
4,Elena E.,11,Cloud Computing,Engineering,3,3.0,2024-11-23 21:00:00,60,Product Intern
4,Elena E.,12,Git & DevOps,Engineering,2,4.0,2024-10-20 06:00:00,86,Product Intern
4,Elena E.,19,System Design,Engineering,4,4.0,2024-09-17 12:00:00,84,Product Intern
5,Fatima F.,6,REST APIs,Engineering,3,3.0,2024-11-03 07:00:00,67,ML Intern
5,Fatima F.,15,Reinforcement Learning,ML,5,2.5,2024-12-25 01:00:00,60,ML Intern
5,Fatima F.,16,Product Analytics,Product,2,3.0,2024-09-14 08:00:00,60,ML Intern
5,Fatima F.,17,Research Methods,Research,3,3.0,2024-10-22 22:00:00,60,ML Intern
5,Fatima F.,18,Technical Writing,Soft Skills,1,2.5,2024-09-05 14:00:00,60,ML Intern
6,George G.,0,Python Basics,Programming,1,2.5,2024-12-18 11:00:00,60,Data Intern
6,George G.,2,ML Fundamentals,ML,2,2.5,2024-09-29 23:00:00,60,Data Intern
6,George G.,3,Deep Learning,ML,4,4.0,2024-12-01 18:00:00,78,Data Intern
6,George G.,4,NLP Methods,ML,4,4.0,2024-11-28 01:00:00,78,Data Intern
6,George G.,5,Data Visualization,Data,2,1.5,2024-11-13 12:00:00,60,Data Intern
6,George G.,12,Git & DevOps,Engineering,2,2.5,2024-11-09 21:00:00,60,Data Intern
